Suburb	Council_Area
Buckland 	Alpine S  
Buckley 	Surf Coast S  
Buckley Swamp 	Sthn Grampians S  
Buckrabanyule 	Buloke S  
Buckrabanyule 	Loddon S  
Budgee Budgee 	Wellington S  
Budgeree 	Latrobe C  
Budgerum East 	Gannawarra S  
Buffalo 	South Gippsland S  
Buffalo Creek 	Alpine S  
Buffalo River 	Alpine S  
Bulart 	Southern Grampians S  
Buldah 	East Gippsland S  
Bulga 	Swan Hill RC  
Bulgana 	Northern Grampians S  
Bulla 	Hume C  
Bullaharre 	Corangamite S  
Bullarook 	Hepburn S  
Bullarook 	Moorabool S  
Bullarto 	Hepburn S  
Bullarto South 	Hepburn S  
Bullarto South 	Moorabool S  
Bulleen 	Manningham C  
Bullengarook 	Macedon Ranges S  
Bullioh 	Towong S  
Bullumwaal 	East Gippsland S  
Buln Buln 	Baw Baw S  
Buln Buln East 	Baw Baw S  
Bumberrah 	East Gippsland S  
Bunbartha 	Greater Shepparton C  
Bundalaguah 	Wellington S  
Bundalong 	Moira S  
Bundalong South 	Moira S  
Bundara 	East Gippsland S  
Bunding 	Moorabool S  
Bundoora 	Banyule C  
Bundoora 	Darebin C  
Bundoora 	Whittlesea C  
Bung Bong 	Central Goldfields S  
Bung Bong 	Pyrenees S  
Bungador 	Colac Otway S  
Bungal 	Moorabool S  
Bungalally 	Horsham RC  
Bungaree 	Moorabool S  
Bungeet 	Benalla RC  
Bungeet West 	Benalla RC  
Bungil 	Towong S  
Bunguluke 	Buloke S  
Buninyong 	Ballarat C  
Buninyong 	Moorabool S  
Bunkers Hill 	Ballarat C  
Bunyip 	Cardinia S  
Bunyip North 	Cardinia S  
Buragwonduc 	Wellington S  
Burkes Bridge 	Gannawarra S  
Burkes Flat 	Loddon S  
Burnbank 	Pyrenees S  
Burnewang 	Campaspe S  
Burnley 	Yarra C  
Burnside 	Melton S  
Burnside Heights 	Melton S  
Burramine 	Moira S  
Burramine South 	Moira S  
Burrowyne 	Towong S  
Burrumbeet 	Ballarat C  
Burrumbeet 	Pyrenees S  
Burwood 	Boroondara C  
Burwood 	Monash C  
Burwood 	Whitehorse C  
Burwood East 	Whitehorse C  
Bushfield 	Moyne S  
Bushfield 	Warrnambool C  
Bushy Park 	Wellington S  
Butchers Ridge 	East Gippsland S  
Buxton 	Murrindindi S  
Byaduk 	Glenelg S  
Byaduk 	Moyne S  
Byaduk 	Southern Grampians S  
Byaduk North 	Sthn Grampians S  
Byawatha 	Wangaratta RC  
Bylands 	Macedon Ranges S  
Bylands 	Mitchell S  
Byrneside 	Greater Shepparton C  
Cabanandra 	East Gippsland S  
Cabarita 	Mildura RC  
Cabbage Tree 	Hepburn S  
Cabbage Tree Creek 	East Gippsland S  
Cairnlea 	Brimbank C  
Calder Park 	Brimbank C  
Caldermeade 	Cardinia S  
California Gully 	Greater Bendigo C  
Calivil 	Loddon S  
Callawadda 	Northern Grampians S  
Callignee 	Latrobe C  
Callignee North 	Wellington S  
Callignee South 	Wellington S  
Calrossie 	Wellington S  
Calulu 	East Gippsland S  
Cambarville 	Yarra Ranges S  
Camberwell 	Boroondara C  
Camberwell East 	Boroondara C  
Cambrian Hill 	Golden Plains S  
Campaspe West 	Campaspe S  
Campbellfield 	Hume C  
Campbells Bridge 	Nthn Grampians S  
Campbells Creek 	Mt Alexander S  
Campbells Forest 	Loddon S  
Campbelltown 	Central Goldfields S  
Campbelltown 	Hepburn S  
Campbelltown 	Mount Alexander S  
Camperdown 	Corangamite S  
Canadian 	Ballarat C  
Canary Island 	Loddon S  
Caniambo 	Greater Shepparton C  
Cann River 	East Gippsland S  
Cannie 	Gannawarra S  
Cannons Creek 	Casey C  
Cannum 	Yarriambiack S  
Canterbury 	Boroondara C  
Cape Bridgewater 	Glenelg S  
Cape Clear 	Golden Plains S  
Cape Conran 	East Gippsland S  
