Suburb	Council_Area
Robinvale 	Swan Hill RC  
Rochester 	Campaspe S  
Rochford 	Macedon Ranges S  
Rockbank 	Melton S  
Rocklands 	Southern Grampians S  
Rocklyn 	Hepburn S  
Rocky Point 	Ararat RC  
Rodborough 	Central Goldfields S  
Rokeby 	Baw Baw S  
Rokewood 	Golden Plains S  
Rokewood Junction 	Golden Plains S  
Romsey 	Macedon Ranges S  
Rosanna 	Banyule C  
Rose River 	Wangaratta RC  
Rosebery 	Yarriambiack S  
Rosebrook 	Moyne S  
Rosebud 	Mornington Peninsula S  
Rosebud West 	Mornington Pen S  
Rosedale 	Wellington S  
Roses Gap (-)	Northern Grampians S  
Rosewhite 	Alpine S  
Roslynmead 	Campaspe S  
Ross Creek 	Golden Plains S  
Rossbridge 	Ararat RC  
Rostron 	Northern Grampians S  
Rowsley 	Moorabool S  
Rowville 	Knox C  
Roxburgh Park 	Hume C  
Rubicon 	Murrindindi S  
Ruby 	South Gippsland S  
Ruffy 	Murrindindi S  
Ruffy 	Strathbogie S  
Running Creek 	Alpine S  
Runnymede 	Campaspe S  
Rupanyup 	Northern Grampians S  
Rupanyup 	Yarriambiack S  
Rushworth 	Campaspe S  
Russells Bridge 	Golden Plains S  
Rutherglen 	Indigo S  
Ryanston 	Bass Coast S  
Rye 	Mornington Peninsula S  
Rythdale 	Cardinia S  
Safety Beach 	Mornington Pen S  
Sailors Falls 	Hepburn S  
Sailors Gully 	Greater Bendigo C  
Sailors Hill 	Hepburn S  
Saint Helena 	Banyule C  
Sale 	Wellington S  
Sale East 	Wellington S  
Salisbury West 	Loddon S  
Samaria 	Benalla RC  
San Remo 	Bass Coast S  
Sandford 	Glenelg S  
Sandhill Lake 	Gannawarra S  
Sandhurst 	Frankston C  
Sandhurst East 	Greater Bendigo C  
Sandon 	Hepburn S  
Sandon 	Mount Alexander S  
Sandown Village 	Gr Dandenong C  
Sandringham 	Bayside C  
Sandy Creek 	Indigo S  
Sandy Point 	South Gippsland S  
Sargood 	Wellington S  
Sarsfield 	East Gippsland S  
Sassafras 	Knox C  
Sassafras 	Yarra Ranges S  
Sawmill Settlement 	Mansfield S  
Scarsdale 	Golden Plains S  
Scoresby 	Knox C  
Scotchmans Lead 	Ballarat C  
Scotsburn 	Ballarat C  
Scotsburn 	Moorabool S  
Scotts Creek 	Corangamite S  
Sea Lake 	Buloke S  
Seabrook 	Hobsons Bay C  
Seacombe 	Wellington S  
Seaford 	Frankston C  
Seaholme 	Hobsons Bay C  
Seaspray 	Wellington S  
Seaton 	Wellington S  
Seaview 	Baw Baw S  
Sebastian 	Greater Bendigo C  
Sebastian 	Loddon S  
Sebastopol 	Ballarat C  
Seddon 	Maribyrnong C  
Sedgwick 	Greater Bendigo C  
Selby 	Yarra Ranges S  
Selwyn 	Alpine S  
Separation Creek 	Colac Otway S  
Serpentine 	Loddon S  
Serviceton 	West Wimmera S  
Seville 	Yarra Ranges S  
Seville East 	Yarra Ranges S  
Seymour 	Mitchell S  
Shady Creek 	Baw Baw S  
Shannonvale 	East Gippsland S  
Shays Flat 	Northern Grampians S  
Shays Flat 	Pyrenees S  
She Oaks 	Golden Plains S  
Sheans Creek 	Strathbogie S  
Sheep Hills 	Yarriambiack S  
Shelbourne 	Greater Bendigo C  
Shelbourne 	Loddon S  
Shelbourne 	Mount Alexander S  
Shelford 	Golden Plains S  
Shelley 	Towong S  
Shepherds Flat 	Hepburn S  
Shepparton 	Greater Shepparton C  
Shepparton East 	Gr Shepparton C  
Shepparton North 	Gr Shepparton C  
Sherbrooke 	Yarra Ranges S  
Shirley 	Pyrenees S  
Shoreham 	Mornington Peninsula S  
Sidonia 	Macedon Ranges S  
Silvan 	Yarra Ranges S  
Silverleaves 	Bass Coast S  
Simmie 	Campaspe S  
Simpson 	Colac Otway S  
Simpson 	Corangamite S  
Simpsons Creek 	East Gippsland S  
Simson 	Central Goldfields S  
Skenes Creek 	Colac Otway S  
Skenes Creek North 	Colac Otway S  
Skibo 	Corangamite S  
Skinners Flat 	Loddon S  
Skipton 	Corangamite S  
Skye 	Frankston C  
Slaty Creek 	Loddon S  
Slaty Creek 	Northern Grampians S  
Smeaton 	Hepburn S  
Smiths Beach 	Bass Coast S  
Smiths Gully 	Nillumbik S  
Smokey Town 	Hepburn S  
Smoko 	Alpine S  
Smythes Creek 	Ballarat C  
Smythes Creek 	Golden Plains S  
Smythesdale 	Golden Plains S  
Snake Island 	Wellington S  
Snake Valley 	Pyrenees S  
Soldiers Hill 	Ballarat C  
Somers 	Mornington Peninsula S  
Somerton 	Hume C  
Somerville 	Mornington Peninsula S  
Sorrento 	Mornington Peninsula S  
South Melbourne 	Port Phillip C  
South Yarra 	Melbourne C  
South Yarra 	Stonnington C  
Southbank 	Melbourne C  
Southbank 	Port Phillip C  
Southern Cross 	Moyne S  
Sovereign Hill 	Ballarat C  
Spargo Creek 	Moorabool S  
Specimen Hill 	Greater Bendigo C  
Speed 	Yarriambiack S  
Speewa 	Swan Hill RC  
Spotswood 	Hobsons Bay C  
Spring Gully 	Greater Bendigo C  
Spring Hill 	Hepburn S  
Spring Hill 	Macedon Ranges S  
Springbank 	Moorabool S  
Springdallah 	Golden Plains S  
Springfield 	Buloke S  
Springfield 	Macedon Ranges S  
Springhurst 	Wangaratta RC  
Springmount 	Hepburn S  
Springvale 	Gr Dandenong C  
Springvale South 	Gr Dandenong C  
St Albans 	Brimbank C  
St Albans Park 	Greater Geelong C  
St Andrews 	Nillumbik S  
St Andrews Beach 	Mornington Pen S  
St Arnaud 	Northern Grampians S  
St Arnaud East 	Nthn Grampians S  
St Arnaud North 	Nthn Grampians S  
St Clair 	Bass Coast S  
St Germains 	Greater Shepparton C  
St Helens 	Moyne S  
St Helens Plains 	Horsham RC  
St James 	Moira S  
St Kilda 	Port Phillip C  
St Kilda East 	Glen Eira C  
St Kilda East 	Port Phillip C  
St Kilda West 	Port Phillip C  
St Leonards 	Greater Geelong C  
Staceys Bridge 	Wellington S  
Staffordshire Reef 	Golden Plains S  
Staghorn Flat 	Indigo S  
Staghorn Flat 	Wodonga RC  
Stanhope 	Campaspe S  
Stanhope South 	Gr Shepparton C  
Stanley 	Indigo S  
Staughton Vale 	Greater Geelong C  
Stavely 	Ararat RC  
Stawell 	Northern Grampians S  
Steels Creek 	Yarra Ranges S  
Steiglitz 	Golden Plains S  
Stewarton 	Benalla RC  
Stewarton 	Greater Shepparton C  
Stirling 	East Gippsland S  
Stockdale 	Wellington S  
Stockyard Hill 	Pyrenees S  
Stonehaven 	Golden Plains S  
Stoneleigh 	Ararat RC  
Stoneleigh 	Pyrenees S  
Stony Creek 	Central Goldfields S  
Stony Creek 	Hepburn S  
Stony Creek 	South Gippsland S  
Stonyford 	Colac Otway S  
Stonyford 	Corangamite S  
Stradbroke 	Wellington S  
Strangways 	Hepburn S  
Strangways 	Mount Alexander S  
Straten 	Buloke S  
Stratford 	Wellington S  
Strath Creek 	Murrindindi S  
Strathallan 	Campaspe S  
Strathbogie 	Benalla RC  
Strathbogie 	Mansfield S  
Strathbogie 	Strathbogie S  
Strathdale 	Greater Bendigo C  
Strathdownie 	Glenelg S  
Strathewen 	Nillumbik S  
Strathfieldsaye 	Greater Bendigo C  
Strathkellar 	Southern Grampians S  
Strathlea 	Central Goldfields S  
Strathlea 	Mount Alexander S  
Strathmerton 	Moira S  
Strathmore 	Moonee Valley C  
Strathmore Heights 	Moonee Valley C  
Streatham 	Ararat RC  
Streatham 	Pyrenees S  
Strzelecki 	Baw Baw S  
Strzelecki 	South Gippsland S  
Stuart Mill 	Northern Grampians S  
Studfield 	Knox C  
Sugarloaf 	Colac Otway S  
Sugarloaf Creek 	Mitchell S  
Suggan Buggan 	East Gippsland S  
Sulky 	Hepburn S  
Summerfield 	Greater Bendigo C  
Summerlands 	Bass Coast S  
Sunbury 	Hume C  
Sunday Creek 	Mitchell S  
Sunderland Bay 	Bass Coast S  
Sunnycliffs 	Mildura RC  
Sunset Strip 	Bass Coast S  
Sunshine 	Brimbank C  
Sunshine North 	Brimbank C  
Sunshine West 	Brimbank C  
Surf Beach 	Bass Coast S  
Surrey Hills 	Boroondara C  
Surrey Hills 	Whitehorse C  
Sutherland 	Northern Grampians S  
Sutherlands Creek 	Golden Plains S  
Sutton 	Buloke S  
Sutton Grange 	Mount Alexander S  
Swan Bay 	Greater Geelong C  
Swan Hill 	Swan Hill RC  
Swan Hill West 	Swan Hill RC  
Swan Island 	Queenscliffe B  
Swan Marsh 	Colac Otway S  
Swan Reach 	East Gippsland S  
Swanpool 	Benalla RC  
Swanwater 	Northern Grampians S  
Swanwater West 	Nthn Grampians S  
Swifts Creek 	East Gippsland S  
Sydenham 	Brimbank C  
Sylvaterre 	Loddon S  
Syndal 	Monash C  
Tabberabbera 	East Gippsland S  
Tabilk 	Strathbogie S  
Tabor 	Southern Grampians S  
Taggerty 	Murrindindi S  
Tahara 	Glenelg S  
Tahara 	Southern Grampians S  
Tahara Bridge 	Glenelg S  
Tahara West 	Glenelg S  
Talbot 	Central Goldfields S  
Talgarno 	Towong S  
Tallandoon 	Towong S  
Tallangatta 	Towong S  
Tallangatta East 	Towong S  
Tallangatta South 	Towong S  
Tallangatta Valley 	Towong S  
Tallarook 	Mitchell S  
Tallygaroopna 	Gr Shepparton C  
Tambo Crossing 	East Gippsland S  
Tambo Upper 	East Gippsland S  
Tamboon 	East Gippsland S  
Tamboritha 	Wellington S  
Taminick 	Benalla RC  
Tamleugh 	Strathbogie S  
Tamleugh North 	Gr Shepparton C  
Tandarook 	Corangamite S  
Tandarra 	Loddon S  
Tangambalanga 	Indigo S  
Tanjil 	Baw Baw S  
Tanjil Bren 	Baw Baw S  
Tanjil South 	Baw Baw S  
Tanjil South 	Latrobe C  
Tantaraboo 	Macedon Ranges S  
Tanwood 	Pyrenees S  
Tanybryn 	Colac Otway S  
Taradale 	Hepburn S  
Taradale 	Macedon Ranges S  
Taradale 	Mount Alexander S  
Tarcombe 	Mitchell S  
Tarcombe 	Strathbogie S  
Tarilta 	Hepburn S  
Tarilta 	Mount Alexander S  
Taripta 	Campaspe S  
Tarnagulla 	Loddon S  
Tarneit 	Wyndham C  
Tarnook 	Benalla RC  
Taroon 	Corangamite S  
Taroon 	Moyne S  
Tarra Valley 	Wellington S  
Tarranyurk 	Hindmarsh S  
Tarraville 	Wellington S  
Tarrawarra 	Yarra Ranges S  
Tarrawingee 	Wangaratta RC  
Tarrayoukyan 	Sthn Grampians S  
Tarrayoukyan 	West Wimmera S  
Tarrengower 	Mount Alexander S  
Tarrenlea 	Southern Grampians S  
Tarrington 	Southern Grampians S  
Tarrone 	Moyne S  
Tarwin 	South Gippsland S  
Tarwin Lower 	South Gippsland S  
Tatong 	Benalla RC  
Tatong 	Wangaratta RC  
Tatura 	Greater Shepparton C  
Tatura East 	Greater Shepparton C  
Tatyoon 	Ararat RC  
Tawonga 	Alpine S  
Tawonga South 	Alpine S  
Taylor Bay 	Murrindindi S  
Taylors Hill 	Melton S  
Taylors Lakes 	Brimbank C  
Teal Point 	Gannawarra S  
Tecoma 	Yarra Ranges S  
Teddywaddy 	Buloke S  
Teddywaddy West 	Buloke S  
Teesdale 	Golden Plains S  
Telangatuk East 	Horsham RC  
Telford 	Moira S  
Telopea Downs 	West Wimmera S  
Templestowe 	Manningham C  
Templestowe Lower 	Manningham C  
Tempy 	Mildura RC  
Tempy 	Yarriambiack S  
Tenby Point 	Bass Coast S  
Tenby Point 	Cardinia S  
Tennyson 	Campaspe S  
Terang 	Corangamite S  
Terang 	Moyne S  
Terip Terip 	Murrindindi S  
Terrappee 	Buloke S  
Terrappee 	Loddon S  
Terrick Terrick 	Loddon S  
Terrick Terrick East 	Campaspe S  
Terrick Terrick East 	Loddon S  
Terrick Terrick West 	Campaspe S  
Tesbury 	Corangamite S  
Tetoora Road 	Baw Baw S  
Thalia 	Buloke S  
Thaloo 	Baw Baw S  
The Basin 	Knox C  
The Cove 	Moyne S  
The Fingerboards 	East Gippsland S  
The Gurdies 	Bass Coast S  
The Heart 	Wellington S  
The Honeysuckles 	Wellington S  
The Patch 	Yarra Ranges S  
The Settlement 	Campaspe S  
The Sisters 	Moyne S  
Thologolong 	Towong S  
Thomastown 	Whittlesea C  
Thomson 	Baw Baw S  
Thomson 	Greater Geelong C  
Thoona 	Benalla RC  
Thornbury 	Darebin C  
Thornton 	Murrindindi S  
Thorpdale 	Baw Baw S  
Thorpdale 	South Gippsland S  
Thorpdale South 	Baw Baw S  
Thorpdale South 	South Gippsland S  
Thowgla Valley 	Towong S  
Three Bridges 	Yarra Ranges S  
Tidal River 	South Gippsland S  
Timbarra 	East Gippsland S  
Timboon 	Corangamite S  
Timboon West 	Corangamite S  
Timmering 	Campaspe S  
Timor 	Central Goldfields S  
Timor West 	Central Goldfields S  
Tinamba 	Wellington S  
Tinambra West 	Wellington S  
Tintaldra 	Towong S  
Titybong 	Buloke S  
Titybong 	Gannawarra S  
Tol Tol 	Swan Hill RC  
Tolmie 	Benalla RC  
Tolmie 	Mansfield S  
Tolmie 	Wangaratta RC  
Tom Groggin 	East Gippsland S  
Tom Groggin 	Towong S  
Tongala 	Campaspe S  
Tonghi Creek 	East Gippsland S  
Tongio 	East Gippsland S  
Tonimbuk 	Cardinia S  
Tooan 	Horsham RC  
Tooborac 	Mitchell S  
Toolamba 	Greater Shepparton C  
Toolamba East 	Gr Shepparton C  
Toolamba West 	Gr Shepparton C  
Toolangi 	Murrindindi S  
Toolangi 	Yarra Ranges S  
Toolern Vale 	Macedon Ranges S  
Toolern Vale 	Melton S  
Toolleen 	Campaspe S  
Toolleen 	Greater Bendigo C  
Toolome 	Wellington S  
Toolondo 	Horsham RC  
Toolong 	Moyne S  
Toombon 	Baw Baw S  
Toongabbie 	Baw Baw S  
Toongabbie 	Latrobe C  
Toongabbie 	Wellington S  
Toora 	South Gippsland S  
Toora North 	South Gippsland S  
Toora North 	Wellington S  
Tooradin 	Cardinia S  
Tooradin 	Casey C  
Toorak 	Stonnington C  
Toorloo Arm 	East Gippsland S  
Toorongo 	Baw Baw S  
Toorongo 	Yarra Ranges S  
Tootgarook 	Mornington Peninsula S  
Torquay 	Surf Coast S  
Torrita 	Mildura RC  
Torrumbarry 	Campaspe S  
Tostaree 	East Gippsland S  
Tottenham 	Maribyrnong C  
Tottington 	Northern Grampians S  
Tourello 	Ballarat C  
Towan 	Swan Hill RC  
Towaninny 	Buloke S  
Towaninny 	Gannawarra S  
Towaninny South 	Buloke S  
Tower Hill 	Moyne S  
Towong 	Towong S  
Towong Lower 	Towong S  
Trafalgar 	Baw Baw S  
Trafalgar East 	Baw Baw S  
Trafalgar South 	Baw Baw S  
Tragowel 	Gannawarra S  
Traralgon 	Latrobe C  
Traralgon East 	Latrobe C  
Traralgon South 	Latrobe C  
Travancore 	Moonee Valley C  
Trawalla 	Pyrenees S  
Trawool 	Mitchell S  
Trawool 	Murrindindi S  
Traynors Lagoon 	Nthn Grampians S  
Tremont 	Yarra Ranges S  
Trentham 	Hepburn S  
Trentham 	Moorabool S  
Trentham East 	Hepburn S  
Trentham East 	Macedon Ranges S  
Tresco 	Swan Hill RC  
Tresco West 	Swan Hill RC  
Trida 	Baw Baw S  
Trida 	South Gippsland S  
Truganina 	Melton S  
Truganina 	Wyndham C  
Tubbut 	East Gippsland S  
Tudor 	Swan Hill RC  
Tuerong 	Mornington Peninsula S  
Tulkara 	Northern Grampians S  
Tullamarine 	Brimbank C  
Tullamarine 	Hume C  
Tullamarine 	Moreland C  
Tungamah 	Moira S  
Turoar 	Swan Hill RC  
Turriff 	Yarriambiack S  
Turriff East 	Buloke S  
Turtons Creek 	South Gippsland S  
Tutye 	Mildura RC  
Tyaak 	Mitchell S  
Tyabb 	Mornington Peninsula S  
Tyers 	Latrobe C  
Tylden 	Hepburn S  
Tylden 	Macedon Ranges S  
Tylden South 	Hepburn S  
Tynong 	Cardinia S  
Tynong North 	Cardinia S  
Tyntynder 	Swan Hill RC  
Tyntynder South 	Swan Hill RC  
Tyrendarra 	Glenelg S  
Tyrendarra 	Moyne S  
Tyrendarra East 	Moyne S  
Tyrrell 	Buloke S  
Tyrrell 	Swan Hill RC  
Tyrrell Downs 	Buloke S  
Tysons Reef 	Greater Bendigo C  
Ullina 	Hepburn S  
Ullswater 	West Wimmera S  
Ultima 	Swan Hill RC  
Ultima East 	Swan Hill RC  
Ulupna 	Moira S  
Undera 	Greater Shepparton C  
Underbool 	Mildura RC  
Uplands 	East Gippsland S  
Upotipotpon 	Strathbogie S  
Upper Ferntree Gully 	Knox C  
Upper Ferntree Gully 	Yarra Ranges S  
Upper Gundowring 	Alpine S  
Upper Plenty 	Mitchell S  
Upper Ryans Creek 	Benalla RC  
Upton Hill 	Strathbogie S  
Upwey 	Yarra Ranges S  
Valencia Creek 	Wellington S  
Vasey 	Southern Grampians S  
Vaughan 	Mount Alexander S  
Vectis 	Horsham RC  
Ventnor 	Bass Coast S  
Venus Bay 	South Gippsland S  
Vermont 	Maroondah C  
Vermont 	Whitehorse C  
Vermont South 	Whitehorse C  
Vervale 	Cardinia S  
Vesper 	Baw Baw S  
Victoria Point 	Sthn Grampians S  
Victoria Valley 	Sthn Grampians S  
Viewbank 	Banyule C  
Vinifera 	Swan Hill RC  
Violet Town 	Greater Shepparton C  
Violet Town 	Strathbogie S  
Vite Vite 	Corangamite S  
Vite Vite North 	Corangamite S  
W Tree 	East Gippsland S  
Waaia 	Moira S  
Waanyarra 	Loddon S  
Waarre 	Corangamite S  
Wabonga 	Wangaratta RC  
Waggarandall 	Moira S  
Wahgunyah 	Indigo S  
Wahring 	Strathbogie S  
Wail 	Horsham RC  
Wairewa 	East Gippsland S  
Waitchie 	Swan Hill RC  
Wal Wal 	Northern Grampians S  
Waldara 	Wangaratta RC  
Walhalla 	Baw Baw S  
Walhalla 	Wellington S  
Walhalla East 	Wellington S  
Walkerville 	South Gippsland S  
Walkerville South 	Sth Gippsland S  
Wallace 	Moorabool S  
Wallacedale 	Glenelg S  
Wallacedale 	Moyne S  
Wallagaraugh 	East Gippsland S  
Wallaloo 	Northern Grampians S  
Wallaloo East 	Nthn Grampians S  
Wallan 	Mitchell S  
Wallinduc 	Golden Plains S  
Wallington 	Greater Geelong C  
Wallup 	Yarriambiack S  
Walmer 	Mount Alexander S  
Walpa 	East Gippsland S  
Walpeup 	Mildura RC  
Walwa 	Towong S  
Wanalta 	Campaspe S  
Wandana Heights 	Gr Geelong C  
Wandella 	Gannawarra S  
Wandiligong 	Alpine S  
Wandin East 	Yarra Ranges S  
Wandin North 	Yarra Ranges S  
Wando Bridge 	Glenelg S  
Wando Vale 	Glenelg S  
Wando Vale 	Southern Grampians S  
Wandong 	Mitchell S  
Wandown 	Swan Hill RC  
Wangandary 	Benalla RC  
Wangandary 	Wangaratta RC  
Wangarabell 	East Gippsland S  
Wangaratta 	Wangaratta RC  
Wangaratta East 	Wangaratta RC  
Wangaratta North 	Wangaratta RC  
Wangaratta South 	Wangaratta RC  
Wangoom 	Moyne S  
Wannon 	Southern Grampians S  
Wantirna 	Knox C  
Wantirna South 	Knox C  
Waranga 	Campaspe S  
Waranga 	Greater Shepparton C  
Waranga Shores 	Campaspe S  
Waratah Bay 	South Gippsland S  
Warburton 	Yarra Ranges S  
Warburton East 	Yarra Ranges S  
Wareek 	Central Goldfields S  
Wareek 	Pyrenees S  
Wargan 	Mildura RC  
Warmur 	Buloke S  
Warncoort 	Colac Otway S  
Warne 	Buloke S  
Warneet 	Casey C  
Warrabkook 	Moyne S  
Warracknabeal 	Yarriambiack S  
Warragul 	Baw Baw S  
Warragul South 	Baw Baw S  
Warragul West 	Baw Baw S  
Warrak 	Ararat RC  
Warrandyte 	Manningham C  
Warrandyte North 	Nillumbik S  
Warrandyte South 	Manningham C  
Warranwood 	Maroondah C  
Warrayure 	Southern Grampians S  
Warrenbayne 	Benalla RC  
Warrenheip 	Ballarat C  
Warrenheip 	Moorabool S  
Warrenmang 	Pyrenees S  
Warrion 	Colac Otway S  
Warrnambool 	Moyne S  
Warrnambool 	Warrnambool C  
Warrock 	Glenelg S  
Warrong 	Moyne S  
Wartook 	Horsham RC  
Wartook 	Northern Grampians S  
Watchem 	Buloke S  
Watchem West 	Buloke S  
Watchupga 	Buloke S  
Waterford 	Wellington S  
Waterford Park 	Mitchell S  
Waterholes 	East Gippsland S  
Waterloo 	Pyrenees S  
Waterways 	Kingston C  
Watsonia 	Banyule C  
Watsonia North 	Banyule C  
Watsons Creek 	Nillumbik S  
Wattle Bank 	Bass Coast S  
Wattle Creek 	Northern Grampians S  
Wattle Creek 	Pyrenees S  
Wattle Flat 	Ballarat C  
Wattle Flat 	Hepburn S  
Wattle Flat 	Moorabool S  
Wattle Glen 	Nillumbik S  
Wattle Hill 	Corangamite S  
Wattle Park 	Whitehorse C  
Waubra 	Hepburn S  
Waubra 	Pyrenees S  
Waurn Ponds 	Greater Geelong C  
Waygara 	East Gippsland S  
Weatherboard 	Ballarat C  
Wedderburn 	Loddon S  
Wedderburn Junction 	Loddon S  
Wee Wee Rup 	Gannawarra S  
Weeaproinah 	Colac Otway S  
Weeragua 	East Gippsland S  
Weering 	Colac Otway S  
Weerite 	Corangamite S  
Wehla 	Loddon S  
Wellsford 	Greater Bendigo C  
Welshmans Reef 	Mt Alexander S  
Welshpool 	South Gippsland S  
Wemen 	Swan Hill RC  
Wendouree 	Ballarat C  
Wendouree Village 	Ballarat C  
Wensleydale 	Surf Coast S  
Werneth 	Corangamite S  
Werneth 	Golden Plains S  
Werona 	Hepburn S  
Werona 	Mount Alexander S  
Werribee 	Wyndham C  
Werribee South 	Wyndham C  
Werrimull 	Mildura RC  
Wesburn 	Yarra Ranges S  
West Creek 	Bass Coast S  
Westbury 	Baw Baw S  
Westby 	Gannawarra S  
Westmeadows 	Hume C  
Westmere 	Ararat RC  
Wharparilla 	Campaspe S  
Wheatsheaf 	Hepburn S  
Wheelers Hill 	Monash C  
Whipstick 	Greater Bendigo C  
Whirily 	Buloke S  
White Hills 	Greater Bendigo C  
Whiteheads Creek 	Mitchell S  
Whitelaw 	South Gippsland S  
Whitfield 	Wangaratta RC  
Whitlands 	Wangaratta RC  
Whittington 	Greater Geelong C  
Whittlesea 	Whittlesea C  
Whoorel 	Colac Otway S  
Whorouly 	Wangaratta RC  
Whorouly East 	Wangaratta RC  
Whorouly South 	Wangaratta RC  
Whroo 	Campaspe S  
Whroo 	Strathbogie S  
Wickliffe 	Ararat RC  
Wilby 	Moira S  
Wild Dog Valley 	South Gippsland S  
Wildwood 	Hume C  
Wilkur 	Buloke S  
Wilkur 	Yarriambiack S  
Willangie 	Buloke S  
Willatook 	Moyne S  
Willaura 	Ararat RC  
Willenabrina 	Yarriambiack S  
Williams Landing 	Wyndham C  
Williamstown 	Hobsons Bay C  
Williamstown North 	Hobsons Bay C  
Willow Grove 	Baw Baw S  
Willowmavin 	Mitchell S  
Willung 	Wellington S  
Willung South 	Wellington S  
Wilsons Hill 	Greater Bendigo C  
Wilsons Promontory 	Sth Gippsland S  
Wimbleton Heights 	Bass Coast S  
Winchelsea 	Colac Otway S  
Winchelsea 	Surf Coast S  
Winchelsea South 	Surf Coast S  
Windermere 	Ballarat C  
Windsor 	Port Phillip C  
Windsor 	Stonnington C  
Wingan River 	East Gippsland S  
Wingeel 	Colac Otway S  
Wingeel 	Golden Plains S  
Winjallok 	Northern Grampians S  
Winlaton 	Swan Hill RC  
Winnambool 	Swan Hill RC  
Winnap 	Glenelg S  
Winnindoo 	Wellington S  
Winslow 	Moyne S  
Winton 	Benalla RC  
Winton North 	Benalla RC  
Wirrate 	Strathbogie S  
Wiseleigh 	East Gippsland S  
Wodonga 	Wodonga RC  
Wodonga West 	Wodonga RC  
Wollert 	Whittlesea C  
Wombat Creek 	East Gippsland S  
Wombelano 	West Wimmera S  
Won Wron 	Wellington S  
Wonga 	South Gippsland S  
Wonga Park 	Manningham C  
Wonga Park 	Maroondah C  
Wongarra 	Colac Otway S  
Wongungarra 	Alpine S  
Wongungarra 	Wellington S  
Wonnangatta 	Alpine S  
Wonthaggi 	Bass Coast S  
Wonthaggi North 	Bass Coast S  
Wonwondah 	Horsham RC  
Wonyip 	South Gippsland S  
Wonyip 	Wellington S  
Wood Wood 	Swan Hill RC  
Woodend 	Macedon Ranges S  
Woodend North 	Macedon Ranges S  
Woodfield 	Mansfield S  
Woodford 	Moyne S  
Woodford 	Warrnambool C  
Woodglen 	East Gippsland S  
Woodhouse 	Southern Grampians S  
Woodleigh 	Bass Coast S  
Woods Point 	Mansfield S  
Woods Point 	Murrindindi S  
Woods Point 	Wellington S  
Woodside 	Wellington S  
Woodside Beach 	Wellington S  
Woodside North 	Wellington S  
Woodstock 	Whittlesea C  
Woodstock On Loddon 	Loddon S  
Woodstock West 	Loddon S  
Woodvale 	Greater Bendigo C  
Woohlpooer 	Southern Grampians S  
Wool Wool 	Colac Otway S  
Wool Wool 	Corangamite S  
Woolamai 	Bass Coast S  
Woolenook 	Wellington S  
Woolshed 	Indigo S  
Woolshed Flat 	Loddon S  
Woolsthorpe 	Moyne S  
Woomelang 	Yarriambiack S  
Wooragee 	Indigo S  
Woorarra 	Wellington S  
Woorarra West 	South Gippsland S  
Woori Yallock 	Yarra Ranges S  
Woorinen 	Swan Hill RC  
Woorinen North 	Swan Hill RC  
Woorinen South 	Swan Hill RC  
Woorndoo 	Ararat RC  
Woorndoo 	Moyne S  
Wooroonook 	Buloke S  
Woosang 	Buloke S  
Woosang 	Loddon S  
Wootong Vale 	Sthn Grampians S  
Worrowing 	Wellington S  
Wrathung 	Wellington S  
Wrixen 	Wellington S  
Wroxham 	East Gippsland S  
Wuk Wuk 	East Gippsland S  
Wulgulmerang 	East Gippsland S  
Wulgulmerang East 	East Gipps S  
Wulgulmerang West 	East Gippsl S  
Wunghnu 	Moira S  
Wurdiboluc 	Surf Coast S  
Wurruk 	Wellington S  
Wy Yung 	East Gippsland S  
Wycheproof 	Buloke S  
Wycheproof South 	Buloke S  
Wychitella 	Loddon S  
Wychitella North 	Loddon S  
Wye River 	Colac Otway S  
Wyelangta 	Colac Otway S  
Wyndham Vale 	Wyndham C  
Wyperfield National Park   Yarriambiack S  
Wyuna 	Campaspe S  
Wyuna 	Greater Shepparton C  
Wyuna East 	Campaspe S  
Yaapeet 	Yarriambiack S  
Yabba North 	Moira S  
Yabba South 	Moira S  
Yackandandah 	Indigo S  
Yalca 	Moira S  
Yallambie 	Banyule C  
Yalla-Y-Poora 	Ararat RC  
Yalla-Y-Poora 	Pyrenees S  
Yallourn 	Latrobe C  
Yallourn North 	Baw Baw S  
Yallourn North 	Latrobe C  
Yalmy 	East Gippsland S  
Yambuk 	Moyne S  
Yambuna 	Campaspe S  
Yan Yean 	Nillumbik S  
Yan Yean 	Whittlesea C  
Yanac 	Hindmarsh S  
Yanakie 	South Gippsland S  
Yando 	Loddon S  
Yandoit 	Hepburn S  
Yandoit Hills 	Mount Alexander S  
Yangery 	Moyne S  
Yangery 	Warrnambool C  
Yangoura 	Wellington S  
Yannathan 	Cardinia S  
Yapeen 	Mount Alexander S  
Yarck 	Murrindindi S  
Yarpturk 	Moyne S  
Yarra Glen 	Yarra Ranges S  
Yarra Junction 	Yarra Ranges S  
Yarraberb 	Loddon S  
Yarragon 	Baw Baw S  
Yarragon South 	Baw Baw S  
Yarram 	Wellington S  
Yarrambat 	Nillumbik S  
Yarraville 	Maribyrnong C  
Yarrawalla 	Loddon S  
Yarrawonga 	Moira S  
Yarroweyah 	Moira S  
Yarrunga 	Wangaratta RC  
Yarto 	Yarriambiack S  
Yatchaw 	Southern Grampians S  
Yawong Hills 	Buloke S  
Yea 	Murrindindi S  
Yellingbo 	Yarra Ranges S  
Yelta 	Mildura RC  
